run_id,organized_log_file,internal_date,start_time,log_topic,overload_warning_count,max_tick_delay_ms,total_tick_delay_ms,max_ticks_behind,total_ticks_behind,template_pool_warning_count,view_range_warning_count,sound_openal_error_count,dimension_save_mention_count,structure_search_mention_count,block_entity_warning_count,maplike_selector_error_count,lycanites_mention_count,exception_or_error_count
run_08,logs/initial_run.log.txt,2026-06-05,21-58-57,server_thread_overload,41,48576,311200,971,6205,20,89,232,171,195,3,15,63,1362
run_09,logs/first_pass.log.txt,2026-06-05,22-31-33,server_thread_overload,14,15706,67674,314,1349,5,0,0,54,0,2,2,60,551
run_10,logs/second_pass.log.txt,2026-06-05,22-46-32,server_thread_overload,7,7692,29327,153,582,3,0,0,27,0,0,0,59,714
run_11,logs/post_change.log.txt,2026-06-05,23-05-54,server_thread_overload,2,3978,6259,79,124,0,0,0,36,9,1,2,2,385
