spark_capture_id,screenshot_file,capture_date,capture_time,profile_duration,ticks_recorded,player_count,java_version,server_version,memory_process_used_gb,memory_process_allocated_gb,tps_1m,tps_5m,tps_15m,mspt_min,mspt_median,mspt_p95,mspt_max,notes
spark_screenshot_01_general_runtime_profile,evidence/screenshots/spark_runtime_overview.png,not visible in screenshot crop,not visible,10m 20s,8379,1,17.0.15,Forge 47.4.20 / Minecraft 1.20.1,7.3,11.2,19.00,14.25,14.96,4.34,14.3,29.9,12800,Spark summary panel visible in retained screenshot.
spark_screenshot_02_mods_view_profile,evidence/screenshots/spark_mods_view.png,2026-06-06,15:38,3m 43s,3780,1,17.0.15,Forge 47.4.20 / Minecraft 1.20.1,6.8,8.4,15.06,10.07,14.55,4.03,10.4,16.5,16100,Spark mods-view summary panel visible in retained screenshot.
spark_screenshot_03_subsystem_profile,evidence/screenshots/spark_subsystem_profile.png,2026-06-05,23:25,1m 1s,539,1,17.0.15,Forge 47.4.20 / Minecraft 1.20.1,7.9,9.3,8.65,13.65,17.31,12.9,17.8,30.0,15300,Spark summary panel visible in retained screenshot; paired with subsystem breakdown screenshot.
